DATASET_ROOT=Mujoco/raccoon_stack_v11_extension_120
NUM_EPISODES=120
SEED=20260615
MAX_ATTEMPTS=2400
OBJECT_X_RANGE=-0.10,0.10
OBJECT_Y_RANGE=0.135,0.180
[Attempt 0046] scene_id=000046 | episode_id=000046 | task_type='stack' | source='red' | base='yellow' | success=True | success_count=46/120 | pair_count=4/10
[Attempt 0047] scene_id=000047 | episode_id=000047 | task_type='stack' | source='blue' | base='green' | success=True | success_count=47/120 | pair_count=4/10
[Attempt 0048] scene_id=000048 | episode_id=000048 | task_type='stack' | source='yellow' | base='green' | success=True | success_count=48/120 | pair_count=4/10
[Attempt 0049] scene_id=000049 | episode_id=000049 | task_type='stack' | source='red' | base='blue' | success=True | success_count=49/120 | pair_count=5/10
[Attempt 0050] scene_id=000050 | episode_id=000050 | task_type='stack' | source='green' | base='blue' | success=True | success_count=50/120 | pair_count=5/10
[Attempt 0051] scene_id=000051 | episode_id=000051 | task_type='stack' | source='green' | base='red' | success=True | success_count=51/120 | pair_count=5/10
[Attempt 0052] scene_id=000052 | episode_id=000052 | task_type='stack' | source='red' | base='yellow' | success=True | success_count=52/120 | pair_count=5/10
[Attempt 0053] scene_id=000053 | episode_id=000053 | task_type='stack' | source='green' | base='yellow' | success=True | success_count=53/120 | pair_count=5/10
[Attempt 0054] scene_id=000054 | episode_id=000054 | task_type='stack' | source='yellow' | base='green' | success=True | success_count=54/120 | pair_count=5/10
[Attempt 0055] scene_id=000055 | episode_id=000055 | task_type='stack' | source='yellow' | base='red' | success=True | success_count=55/120 | pair_count=5/10
[Attempt 0056] scene_id=000056 | episode_id=000056 | task_type='stack' | source='blue' | base='yellow' | success=True | success_count=56/120 | pair_count=5/10
[Attempt 0057] scene_id=000057 | episode_id=000057 | task_type='stack' | source='blue' | base='red' | success=True | success_count=57/120 | pair_count=5/10
[Attempt 0058] scene_id=000058 | episode_id=000058 | task_type='stack' | source='red' | base='green' | success=True | success_count=58/120 | pair_count=5/10
[Attempt 0059] scene_id=000059 | episode_id=000059 | task_type='stack' | source='blue' | base='green' | success=True | success_count=59/120 | pair_count=5/10
[Attempt 0060] scene_id=000060 | episode_id=000060 | task_type='stack' | source='yellow' | base='blue' | success=False | success_count=59/120 | pair_count=4/10
[Attempt 0061] scene_id=000061 | episode_id=000060 | task_type='stack' | source='yellow' | base='blue' | success=True | success_count=60/120 | pair_count=5/10
[Attempt 0062] scene_id=000062 | episode_id=000061 | task_type='stack' | source='blue' | base='red' | success=True | success_count=61/120 | pair_count=6/10
[Attempt 0063] scene_id=000063 | episode_id=000062 | task_type='stack' | source='green' | base='blue' | success=True | success_count=62/120 | pair_count=6/10
[Attempt 0064] scene_id=000064 | episode_id=000063 | task_type='stack' | source='red' | base='blue' | success=True | success_count=63/120 | pair_count=6/10
[Attempt 0065] scene_id=000065 | episode_id=000064 | task_type='stack' | source='red' | base='yellow' | success=True | success_count=64/120 | pair_count=6/10
[Attempt 0066] scene_id=000066 | episode_id=000065 | task_type='stack' | source='yellow' | base='red' | success=True | success_count=65/120 | pair_count=6/10
[Attempt 0067] scene_id=000067 | episode_id=000066 | task_type='stack' | source='green' | base='red' | success=True | success_count=66/120 | pair_count=6/10
[Attempt 0068] scene_id=000068 | episode_id=000067 | task_type='stack' | source='blue' | base='green' | success=True | success_count=67/120 | pair_count=6/10
[Attempt 0069] scene_id=000069 | episode_id=000068 | task_type='stack' | source='blue' | base='yellow' | success=True | success_count=68/120 | pair_count=6/10
[Attempt 0070] scene_id=000070 | episode_id=000069 | task_type='stack' | source='green' | base='yellow' | success=True | success_count=69/120 | pair_count=6/10
[Attempt 0071] scene_id=000071 | episode_id=000070 | task_type='stack' | source='yellow' | base='blue' | success=True | success_count=70/120 | pair_count=6/10
[Attempt 0072] scene_id=000072 | episode_id=000071 | task_type='stack' | source='yellow' | base='green' | success=True | success_count=71/120 | pair_count=6/10
[Attempt 0073] scene_id=000073 | episode_id=000072 | task_type='stack' | source='red' | base='green' | success=True | success_count=72/120 | pair_count=6/10
[Attempt 0074] scene_id=000074 | episode_id=000073 | task_type='stack' | source='red' | base='yellow' | success=True | success_count=73/120 | pair_count=7/10
[Attempt 0075] scene_id=000075 | episode_id=000074 | task_type='stack' | source='green' | base='blue' | success=True | success_count=74/120 | pair_count=7/10
[Attempt 0076] scene_id=000076 | episode_id=000075 | task_type='stack' | source='yellow' | base='blue' | success=True | success_count=75/120 | pair_count=7/10
[Attempt 0077] scene_id=000077 | episode_id=000076 | task_type='stack' | source='green' | base='yellow' | success=True | success_count=76/120 | pair_count=7/10
[Attempt 0078] scene_id=000078 | episode_id=000077 | task_type='stack' | source='red' | base='blue' | success=True | success_count=77/120 | pair_count=7/10
[Attempt 0079] scene_id=000079 | episode_id=000078 | task_type='stack' | source='blue' | base='red' | success=True | success_count=78/120 | pair_count=7/10
[Attempt 0080] scene_id=000080 | episode_id=000079 | task_type='stack' | source='red' | base='green' | success=True | success_count=79/120 | pair_count=7/10
[Attempt 0081] scene_id=000081 | episode_id=000080 | task_type='stack' | source='green' | base='red' | success=True | success_count=80/120 | pair_count=7/10
[Attempt 0082] scene_id=000082 | episode_id=000081 | task_type='stack' | source='yellow' | base='green' | success=True | success_count=81/120 | pair_count=7/10
[Attempt 0083] scene_id=000083 | episode_id=000082 | task_type='stack' | source='blue' | base='green' | success=True | success_count=82/120 | pair_count=7/10
[Attempt 0084] scene_id=000084 | episode_id=000083 | task_type='stack' | source='yellow' | base='red' | success=True | success_count=83/120 | pair_count=7/10
[Attempt 0085] scene_id=000085 | episode_id=000084 | task_type='stack' | source='blue' | base='yellow' | success=True | success_count=84/120 | pair_count=7/10
[Attempt 0086] scene_id=000086 | episode_id=000085 | task_type='stack' | source='blue' | base='red' | success=True | success_count=85/120 | pair_count=8/10
[Attempt 0087] scene_id=000087 | episode_id=000086 | task_type='stack' | source='yellow' | base='blue' | success=True | success_count=86/120 | pair_count=8/10
[Attempt 0088] scene_id=000088 | episode_id=000087 | task_type='stack' | source='blue' | base='yellow' | success=True | success_count=87/120 | pair_count=8/10
[Attempt 0089] scene_id=000089 | episode_id=000088 | task_type='stack' | source='green' | base='red' | success=True | success_count=88/120 | pair_count=8/10
[Attempt 0090] scene_id=000090 | episode_id=000089 | task_type='stack' | source='green' | base='blue' | success=True | success_count=89/120 | pair_count=8/10
[Attempt 0091] scene_id=000091 | episode_id=000090 | task_type='stack' | source='red' | base='green' | success=True | success_count=90/120 | pair_count=8/10
[Attempt 0092] scene_id=000092 | episode_id=000091 | task_type='stack' | source='green' | base='yellow' | success=True | success_count=91/120 | pair_count=8/10
[Attempt 0093] scene_id=000093 | episode_id=000092 | task_type='stack' | source='yellow' | base='green' | success=True | success_count=92/120 | pair_count=8/10
[Attempt 0094] scene_id=000094 | episode_id=000093 | task_type='stack' | source='yellow' | base='red' | success=True | success_count=93/120 | pair_count=8/10
[Attempt 0095] scene_id=000095 | episode_id=000094 | task_type='stack' | source='blue' | base='green' | success=True | success_count=94/120 | pair_count=8/10
[Attempt 0096] scene_id=000096 | episode_id=000095 | task_type='stack' | source='red' | base='yellow' | success=True | success_count=95/120 | pair_count=8/10
[Attempt 0097] scene_id=000097 | episode_id=000096 | task_type='stack' | source='red' | base='blue' | success=True | success_count=96/120 | pair_count=8/10
[Attempt 0098] scene_id=000098 | episode_id=000097 | task_type='stack' | source='red' | base='blue' | success=False | success_count=96/120 | pair_count=8/10
[Attempt 0099] scene_id=000099 | episode_id=000097 | task_type='stack' | source='yellow' | base='blue' | success=True | success_count=97/120 | pair_count=9/10
[Attempt 0100] scene_id=000100 | episode_id=000098 | task_type='stack' | source='red' | base='blue' | success=True | success_count=98/120 | pair_count=9/10
[Attempt 0101] scene_id=000101 | episode_id=000099 | task_type='stack' | source='blue' | base='yellow' | success=True | success_count=99/120 | pair_count=9/10
[Attempt 0102] scene_id=000102 | episode_id=000100 | task_type='stack' | source='red' | base='yellow' | success=True | success_count=100/120 | pair_count=9/10
[Attempt 0103] scene_id=000103 | episode_id=000101 | task_type='stack' | source='blue' | base='green' | success=True | success_count=101/120 | pair_count=9/10
[Attempt 0104] scene_id=000104 | episode_id=000102 | task_type='stack' | source='red' | base='green' | success=True | success_count=102/120 | pair_count=9/10
[Attempt 0105] scene_id=000105 | episode_id=000103 | task_type='stack' | source='green' | base='yellow' | success=True | success_count=103/120 | pair_count=9/10
[Attempt 0106] scene_id=000106 | episode_id=000104 | task_type='stack' | source='green' | base='blue' | success=True | success_count=104/120 | pair_count=9/10
[Attempt 0107] scene_id=000107 | episode_id=000105 | task_type='stack' | source='green' | base='red' | success=True | success_count=105/120 | pair_count=9/10
[Attempt 0108] scene_id=000108 | episode_id=000106 | task_type='stack' | source='blue' | base='red' | success=True | success_count=106/120 | pair_count=9/10
[Attempt 0109] scene_id=000109 | episode_id=000107 | task_type='stack' | source='yellow' | base='red' | success=True | success_count=107/120 | pair_count=9/10
[Attempt 0110] scene_id=000110 | episode_id=000108 | task_type='stack' | source='yellow' | base='green' | success=True | success_count=108/120 | pair_count=9/10
